"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"04.01.2023 07:00 - 04.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4323","n/e","n/e"
"04.01.2023 08:00 - 04.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4319","n/e","n/e"
"04.01.2023 09:00 - 04.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4325","n/e","n/e"
"04.01.2023 10:00 - 04.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","4315","n/e","n/e"
"04.01.2023 11:00 - 04.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","4277","n/e","n/e"
"04.01.2023 12:00 - 04.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","4201","n/e","n/e"
"04.01.2023 13:00 - 04.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","4110","n/e","n/e"
"04.01.2023 14:00 - 04.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","4006","n/e","n/e"
"04.01.2023 15:00 - 04.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3860","n/e","n/e"
"04.01.2023 16:00 - 04.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3707","n/e","n/e"
"04.01.2023 17:00 - 04.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","3517","n/e","n/e"
"04.01.2023 18:00 - 04.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","3339","n/e","n/e"
"04.01.2023 19:00 - 04.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","3178","n/e","n/e"
"04.01.2023 20:00 - 04.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2991","n/e","n/e"
"04.01.2023 21:00 - 04.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2832","n/e","n/e"
"04.01.2023 22:00 - 04.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2724","n/e","n/e"
"04.01.2023 23:00 - 05.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","2614","n/e","n/e"
"05.01.2023 00:00 - 05.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2472","n/e","n/e"
"05.01.2023 01:00 - 05.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1626","n/e","n/e"
"05.01.2023 02:00 - 05.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1455","n/e","n/e"
"05.01.2023 03:00 - 05.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1424","n/e","n/e"
"05.01.2023 04:00 - 05.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1623","n/e","n/e"
"05.01.2023 05:00 - 05.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1896","n/e","n/e"
"05.01.2023 06:00 - 05.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2182","n/e","n/e"
"05.01.2023 07:00 - 05.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2533","n/e","n/e"
"05.01.2023 08:00 - 05.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2896","n/e","n/e"
"05.01.2023 09:00 - 05.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","3290","n/e","n/e"
"05.01.2023 10:00 - 05.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3672","n/e","n/e"
"05.01.2023 11:00 - 05.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3998","n/e","n/e"
"05.01.2023 12:00 - 05.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","4297","n/e","n/e"
"05.01.2023 13:00 - 05.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","4545","n/e","n/e"
"05.01.2023 14:00 - 05.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","4718","n/e","n/e"
"05.01.2023 15:00 - 05.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","4786","n/e","n/e"
"05.01.2023 16:00 - 05.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","4747","n/e","n/e"
"05.01.2023 17:00 - 05.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","4615","n/e","n/e"
"05.01.2023 18:00 - 05.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","4432","n/e","n/e"
"05.01.2023 19:00 - 05.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","4240","n/e","n/e"
"05.01.2023 20:00 - 05.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","3956","n/e","n/e"
"05.01.2023 21:00 - 05.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3606","n/e","n/e"
"05.01.2023 22:00 - 05.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3301","n/e","n/e"
"05.01.2023 23:00 - 06.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3075","n/e","n/e"
"06.01.2023 00:00 - 06.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2832","n/e","n/e"
"06.01.2023 01:00 - 06.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","2756","n/e","n/e"
"06.01.2023 02:00 - 06.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","2799","n/e","n/e"
"06.01.2023 03:00 - 06.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2680","n/e","n/e"
"06.01.2023 04:00 - 06.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2492","n/e","n/e"
"06.01.2023 05:00 - 06.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2367","n/e","n/e"
"06.01.2023 06:00 - 06.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2331","n/e","n/e"
"06.01.2023 07:00 - 06.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2385","n/e","n/e"
"06.01.2023 08:00 - 06.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2489","n/e","n/e"
"06.01.2023 09:00 - 06.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2691","n/e","n/e"
"06.01.2023 10:00 - 06.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2940","n/e","n/e"
