"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"11.08.2023 00:00 - 11.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 01:00 - 11.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 02:00 - 11.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 03:00 - 11.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 04:00 - 11.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 05:00 - 11.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 06:00 - 11.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 07:00 - 11.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 08:00 - 11.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 09:00 - 11.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 10:00 - 11.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 11:00 - 11.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 12:00 - 11.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 13:00 - 11.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 14:00 - 11.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 15:00 - 11.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 16:00 - 11.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 17:00 - 11.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 18:00 - 11.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 19:00 - 11.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 20:00 - 11.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 21:00 - 11.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 22:00 - 11.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"11.08.2023 23:00 - 12.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 00:00 - 12.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 01:00 - 12.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 02:00 - 12.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 03:00 - 12.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 04:00 - 12.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 05:00 - 12.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 06:00 - 12.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 07:00 - 12.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 08:00 - 12.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 09:00 - 12.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 10:00 - 12.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 11:00 - 12.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 12:00 - 12.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 13:00 - 12.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 14:00 - 12.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 15:00 - 12.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 16:00 - 12.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 17:00 - 12.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 18:00 - 12.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 19:00 - 12.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 20:00 - 12.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 21:00 - 12.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 22:00 - 12.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"12.08.2023 23:00 - 13.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 00:00 - 13.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 01:00 - 13.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 02:00 - 13.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 03:00 - 13.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 04:00 - 13.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 05:00 - 13.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 06:00 - 13.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 07:00 - 13.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 08:00 - 13.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 09:00 - 13.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 10:00 - 13.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 11:00 - 13.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 12:00 - 13.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 13:00 - 13.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 14:00 - 13.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 15:00 - 13.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 16:00 - 13.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 17:00 - 13.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 18:00 - 13.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 19:00 - 13.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 20:00 - 13.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 21:00 - 13.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 22:00 - 13.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"13.08.2023 23:00 - 14.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 00:00 - 14.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 01:00 - 14.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 02:00 - 14.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 03:00 - 14.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 04:00 - 14.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 05:00 - 14.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 06:00 - 14.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 07:00 - 14.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 08:00 - 14.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 09:00 - 14.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 10:00 - 14.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 11:00 - 14.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 12:00 - 14.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 13:00 - 14.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 14:00 - 14.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 15:00 - 14.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 16:00 - 14.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 17:00 - 14.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 18:00 - 14.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 19:00 - 14.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 20:00 - 14.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 21:00 - 14.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 22:00 - 14.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"14.08.2023 23:00 - 15.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 00:00 - 15.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 01:00 - 15.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 02:00 - 15.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 03:00 - 15.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 04:00 - 15.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 05:00 - 15.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 06:00 - 15.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 07:00 - 15.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 08:00 - 15.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 09:00 - 15.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 10:00 - 15.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 11:00 - 15.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 12:00 - 15.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 13:00 - 15.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 14:00 - 15.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 15:00 - 15.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 16:00 - 15.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 17:00 - 15.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 18:00 - 15.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 19:00 - 15.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 20:00 - 15.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 21:00 - 15.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 22:00 - 15.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"15.08.2023 23:00 - 16.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 00:00 - 16.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 01:00 - 16.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 02:00 - 16.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 03:00 - 16.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 04:00 - 16.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 05:00 - 16.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 06:00 - 16.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 07:00 - 16.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 08:00 - 16.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 09:00 - 16.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 10:00 - 16.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 11:00 - 16.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 12:00 - 16.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 13:00 - 16.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 14:00 - 16.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 15:00 - 16.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 16:00 - 16.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 17:00 - 16.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 18:00 - 16.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 19:00 - 16.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 20:00 - 16.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 21:00 - 16.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 22:00 - 16.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"16.08.2023 23:00 - 17.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 00:00 - 17.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 01:00 - 17.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 02:00 - 17.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 03:00 - 17.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 04:00 - 17.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 05:00 - 17.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 06:00 - 17.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 07:00 - 17.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 08:00 - 17.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 09:00 - 17.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 10:00 - 17.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 11:00 - 17.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 12:00 - 17.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 13:00 - 17.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 14:00 - 17.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 15:00 - 17.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 16:00 - 17.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 17:00 - 17.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 18:00 - 17.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 19:00 - 17.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 20:00 - 17.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 21:00 - 17.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 22:00 - 17.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"17.08.2023 23:00 - 18.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 00:00 - 18.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 01:00 - 18.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 02:00 - 18.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 03:00 - 18.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 04:00 - 18.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 05:00 - 18.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 06:00 - 18.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 07:00 - 18.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 08:00 - 18.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 09:00 - 18.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 10:00 - 18.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 11:00 - 18.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 12:00 - 18.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 13:00 - 18.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 14:00 - 18.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 15:00 - 18.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 16:00 - 18.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 17:00 - 18.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 18:00 - 18.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 19:00 - 18.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 20:00 - 18.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 21:00 - 18.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 22:00 - 18.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"18.08.2023 23:00 - 19.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 00:00 - 19.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 01:00 - 19.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 02:00 - 19.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 03:00 - 19.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 04:00 - 19.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 05:00 - 19.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 06:00 - 19.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 07:00 - 19.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 08:00 - 19.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 09:00 - 19.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 10:00 - 19.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 11:00 - 19.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 12:00 - 19.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 13:00 - 19.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 14:00 - 19.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 15:00 - 19.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 16:00 - 19.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 17:00 - 19.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 18:00 - 19.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 19:00 - 19.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 20:00 - 19.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 21:00 - 19.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 22:00 - 19.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"19.08.2023 23:00 - 20.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 00:00 - 20.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 01:00 - 20.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 02:00 - 20.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 03:00 - 20.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 04:00 - 20.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 05:00 - 20.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 06:00 - 20.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 07:00 - 20.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 08:00 - 20.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 09:00 - 20.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 10:00 - 20.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
"20.08.2023 11:00 - 20.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","-","n/e","n/e"
